,name,id,longitude,latitude,glacierization,subregional_cluster
0, OMINECA RIVER ABOVE OSILINKA RIVER,07EC002,-124.5676,55.91686,0.0,4
1, PARSNIP RIVER ABOVE MISINCHINKA RIVER,07EE007,-122.9131,55.08194,0.0028588235294117648,4
2, CHUCHINKA CREEK NEAR THE MOUTH,07EE009,-122.6122,54.52972,0.0,4
3, PINE RIVER AT EAST PINE,07FB001,-121.2116,55.71844,0.0013111570247933883,4
4, MURRAY RIVER NEAR THE MOUTH,07FB002,-121.2035,55.55247,0.002789369369369369,4
5, SUKUNKA RIVER NEAR THE MOUTH,07FB003,-121.6276,55.54217,0.00014826254826254826,4
6, DICKEBUSCH CREEK NEAR THE MOUTH,07FB004,-121.5968,55.53778,0.0,4
7, MURRAY RIVER ABOVE WOLVERINE RIVER,07FB006,-121.0138,55.06136,0.0065320675105485235,4
8, KISKATINAW RIVER NEAR FARMINGTON,07FD001,-120.5644,55.95736,0.0,4
9, NASS RIVER ABOVE SHUMAL CREEK,08DB001,-129.1353,55.216,3.548913043478261e-05,4
10, KISPIOX RIVER NEAR HAZELTON,08EB004,-127.7162,55.43385,0.00215,4
11, BABINE RIVER AT OUTLET OF NILKITKWA LAKE,08EC013,-126.6976,55.42654,0.00017233727810650888,4
12, NANIKA RIVER AT OUTLET OF KIDPRICE LAKE,08ED001,-127.4517,53.93033,0.028394808743169395,4
13, MORICE RIVER NEAR HOUSTON,08ED002,-127.4266,54.11683,0.04649315789473684,4
14, BULKLEY RIVER AT QUICK,08EE004,-126.9,54.61861,0.012234741144414168,4
15, GOATHORN CREEK NEAR TELKWA,08EE008,-127.1233,54.64861,0.004256,4
16, SIMPSON CREEK AT THE MOUTH,08EE012,-127.2042,54.80994,0.0,4
17, BUCK CREEK AT THE MOUTH,08EE013,-126.6502,54.39608,0.0,4
18, TELKWA RIVER BELOW TSAI CREEK,08EE020,-127.4969,54.60694,0.058899182561307904,4
19, SKEENA RIVER AT USK,08EF001,-128.4306,54.63194,0.008420189125295508,4
20, ZYMOETZ RIVER ABOVE O.K. CREEK,08EF005,-128.3247,54.49363,0.033076842105263154,4
21, EXCHAMSIKS RIVER NEAR TERRACE,08EG012,-129.3128,54.36219,0.08661891891891892,4
